license_nbr,license_type,lic_expir_dd,license_status,license_creation_date,industry,business_name,address_building,address_street_name,address_city,address_state,address_zip,contact_phone,address_borough,detail,community_board,council_district,bin,bbl,nta,census_tract,longitude,latitude,location
2107661-DCA,Business,2024-12-31,Active,2022-07-21,Electronics Store,JPMP WIRELESS LLC,888,QUINCY ST,BROOKLYN,NY,11221,9179164402,Brooklyn,3.0,303.0,41.0,3039616.0,3014790005.0,,,-73.92368442820575,40.690051468235644,"
,  
(40.690051468235644, -73.92368442820575)"
2103270-DCA,Business,2025-02-28,Active,2021-12-30,Home Improvement Contractor,ALEXANDRE CONSTRUCTION INC,201,W 144TH ST,NEW YORK,NY,10030,9545156371,Manhattan,1.0,110.0,9.0,1060456.0,1020300029.0,,,-73.9399733212277,40.82114741811314,"
,  
(40.82114741811314, -73.9399733212277)"
2041665-DCA,Individual,2023-07-31,Active,2016-08-01,Ticket Seller,"OBI, IFEANYI",No Building Info,,NEWARK,NJ,07103,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1474264-DCA,Business,2019-03-31,Inactive,2013-09-28,Garage,SP PLUS CORPORATION,4162,BROADWAY,NEW YORK,NY,10033,2126954568,Manhattan,1.0,112.0,10.0,1063559.0,1021450012.0,MN36,263.0,-73.938175252836,40.84706204129148,"
,  
(40.84706204129148, -73.938175252836)"
2074902-1-DCA,Business,2023-11-30,Active,2018-07-02,Electronic Cigarette Dealer,"ISMAIL, ADNAM K",4243,BROADWAY,NEW YORK,NY,10033,9293839146,Manhattan,1.0,112.0,10.0,1064282.0,1021760138.0,MN36,265.0,-73.9362607029006,40.8496904272797,"
,  
(40.8496904272797, -73.9362607029006)"
2038369-1-DCA,Business,2023-12-31,Active,2016-05-27,Tobacco Retail Dealer,"JIGME & PHUNTSOK OF NYC, INC.",7305,37TH RD,JACKSON HEIGHTS,NY,11372,718-205-5022,Queens,4.0,403.0,25.0,4029791.0,4012840007.0,QN28,289.0,-73.89224951334751,40.74716403096341,"
,  
(40.747164030963404, -73.89224951334751)"
2080074-1-DCA,Business,2023-12-31,Inactive,2018-11-20,Tobacco Retail Dealer,AMA SUPERIOR MARKET INC,1709,CHURCH AVE,BROOKLYN,NY,11226,718-462-7132,Brooklyn,3.0,314.0,40.0,3116499.0,3050780039.0,BK42,506.0,-73.9636457982606,40.64922600672808,"
,  
(40.64922600672808, -73.9636457982606)"
1166072-DCA,Business,2008-03-31,Inactive,2004-05-03,Stoop Line Stand,PHILLIES PIZZERIA II INC.,7402,ELIOT AVE,MIDDLE VLG,NY,11379,718-397-1340,Queens,4.0,405.0,30.0,4067019.0,4029300001.0,QN21,66501.0,-73.88551491874715,40.72207046435732,"
,  
(40.72207046435732, -73.88551491874715)"
1473336-DCA,Business,2022-12-31,Inactive,2013-09-10,Tobacco Retail Dealer,EASY GRAB & GO CORP.,374,VAN DUZER ST,STATEN ISLAND,NY,10304,718-727-5446,Staten Island,5.0,501.0,49.0,5013510.0,5005150043.0,SI37,21.0,-74.07958551961441,40.62911237288672,"
,  
(40.629112372886716, -74.07958551961441)"
1402813-DCA,Business,2021-03-31,Inactive,2011-08-10,Garage,SP PLUS CORPORATION,385,S END AVE,NEW YORK,NY,10280,2126954568,Manhattan,1.0,101.0,1.0,1083376.0,1000160100.0,MN25,31704.0,-74.01588551929983,40.711350358344696,"
,  
(40.711350358344696, -74.01588551929983)"
2107528-DCA,Business,2023-07-31,Active,2022-07-15,Secondhand Dealer - General,ECOATM LLC,1008,FLATBUSH AVE,BROOKLYN,NY,11226,8587667242,Brooklyn,3.0,314.0,40.0,3117638.0,3051250023.0,,,-73.95812644363545,40.64679499594486,"
,  
(40.64679499594486, -73.95812644363545)"
2048700-DCA,Individual,,Inactive,2017-02-23,Home Improvement Salesperson,Unknown Business,No Building Info,,MASSAPEQUA PARK,NY,11762,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2095946-1-DCA,Business,2023-12-31,Inactive,2020-07-10,Tobacco Retail Dealer,"7-ELEVEN, INC.",2474,FLATBUSH AVE,BROOKLYN,NY,11234,7327275030,Brooklyn,3.0,318.0,46.0,3241945.0,3085420001.0,,,-73.9228393973037,40.61011182394454,"
,  
(40.61011182394454, -73.9228393973037)"
2079431-1-DCA,Business,2023-11-30,Inactive,2018-10-25,Electronic Cigarette Dealer,AMA SUPERIOR MARKET INC,1709,CHURCH AVE,BROOKLYN,NY,11226,No Contact Available,Brooklyn,3.0,314.0,40.0,3116499.0,3050780039.0,BK42,506.0,-73.9636457982606,40.64922600672808,"
,  
(40.64922600672808, -73.9636457982606)"
0819842-DCA,Business,2024-09-30,Active,2002-09-17,Newsstand,"PANDYA, DIPAK",S/W/C,EAST   42 STREET,NEW YORK,NY,10017,917-903-8091,Manhattan,1.0,,3.0,,,,,-73.97928616628622,40.752800875109386,"
,  
(40.752800875109386, -73.97928616628622)"
2096010-DCA,Business,2021-03-15,Inactive,2020-07-22,Dealer In Products,101 RX PHARAMACY INC,9718,101ST AVE,OZONE PARK,NY,11416,347-661-9068,Queens,4.0,409.0,32.0,4189379.0,4091040008.0,,,-73.8439698042824,40.68483552235137,"
,  
(40.68483552235137, -73.8439698042824)"
2054639-DCA,Individual,2023-07-31,Active,2017-06-19,Ticket Seller,"GWAR, JACOB",No Building Info,,NEW YORK,NY,10017,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0860770-DCA,Individual,2025-05-31,Active,2003-05-09,Locksmith,"SANCHEZ, DAVID",No Building Info,,WOODHAVEN,NY,11421,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2029294-DCA,Business,2025-02-28,Active,2015-10-07,Home Improvement Contractor,SUDDELL BUILDERS INC,224,Laurel Avenue,Northport,NY,11768,6314212595,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
2094077-DCA,Business,2023-07-31,Active,2020-01-30,Secondhand Dealer - General,BEST WIRELESS METROPOLITAN AVENUE INC,9806,METROPOLITAN AVE,FOREST HILLS,NY,11375,2122222292,Queens,4.0,406.0,29.0,4095120.0,4038930002.0,,,-73.85446274291475,40.71102340635603,"
,  
(40.71102340635603, -73.85446274291475)"
2092233-2-DCA,Business,2022-12-31,Inactive,2019-11-14,Tobacco Retail Dealer,NUR GROCERY TWO INC,301,E 4TH ST,NEW YORK,NY,10009,6462556214,Manhattan,1.0,103.0,2.0,1004408.0,1003740001.0,,,-73.98009295235428,40.72225466606572,"
,  
(40.72225466606572, -73.98009295235428)"
2103384-1-DCA,Business,2023-11-30,Active,2022-01-10,Electronic Cigarette Dealer,MAIN STREET CONVENIENCE INC,6958,MAIN ST,FLUSHING,NY,11367,3479359694,Queens,4.0,408.0,24.0,4143180.0,4066160037.0,,,-73.82339219907408,40.72984744337515,"
,  
(40.72984744337515, -73.82339219907408)"
2074170-1-DCA,Business,2023-11-30,Active,2018-06-22,Electronic Cigarette Dealer,INWOOD PARK GROCERY CORP,630,W 207TH ST,NEW YORK,NY,10034,917-306-2892,Manhattan,1.0,112.0,10.0,1064982.0,1022410014.0,MN01,295.0,-73.92154926021996,40.86820260246147,"
,  
(40.86820260246147, -73.92154926021996)"
2045761-DCA,Business,2019-03-15,Inactive,2016-11-21,Dealer In Products,INTERNATIONAL MEDICAL EQUIPMENT LLC,57,W 57TH ST,NEW YORK,NY,10019,8554357144,Manhattan,1.0,105.0,4.0,1035062.0,1012730001.0,MN17,11201.0,-73.97574145656893,40.76371877676414,"
,  
(40.76371877676414, -73.97574145656893)"
2107524-DCA,Business,2023-07-31,Active,2022-07-15,Secondhand Dealer - General,ECOATM LLC,770,PORT RICHMOND AVE,STATEN ISLAND,NY,10302,8587667242,Staten Island,5.0,501.0,49.0,5026396.0,5011400002.0,,,-74.14452166049198,40.62524754714254,"
,  
(40.62524754714254, -74.14452166049198)"
2035915-1-DCA,Business,2023-12-31,Active,2016-04-12,Tobacco Retail Dealer,L STOP GOURMET DELI CORP.,223,MONTROSE AVE,BROOKLYN,NY,11206,347-889-6608,Brooklyn,3.0,301.0,34.0,3071163.0,3030540026.0,BK78,493.0,-73.94021260626926,40.70762775314755,"
,  
(40.70762775314755, -73.94021260626926)"
2102954-DCA,Individual,2023-07-31,Active,2021-12-03,Ticket Seller,"IDRISSOU, AHAMED",No Building Info,,NEW YORK,NY,10030,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2066822-1-DCA,Business,2023-12-31,Active,2018-02-23,Tobacco Retail Dealer,BISMILAH UNIDOS INC,340,E 174TH ST,BRONX,NY,10457,718-822-3430,Bronx,2.0,204.0,15.0,2009336.0,2028890044.0,BX01,165.0,-73.90384567687367,40.84438989086224,"
,  
(40.84438989086224, -73.90384567687367)"
2107575-DCA,Business,2024-06-30,Active,2022-07-19,Electronic & Appliance Service,US MOBIL SERVICE INC,512,DITMAS AVE,BROOKLYN,NY,11218,7186866840,Brooklyn,3.0,312.0,39.0,3127184.0,3053990001.0,,,-73.9738458712789,40.63600165837657,"
,  
(40.63600165837657, -73.9738458712789)"
1423186-DCA,Business,2021-02-28,Inactive,2012-03-27,Home Improvement Contractor,"F. J. SCIAME CONSTRUCTION CO., INC.",14,WALL ST,NEW YORK,NY,10005,2122322005,Manhattan,1.0,101.0,1.0,1001025.0,1000460009.0,MN25,7.0,-74.01099728403673,40.70734631986123,"
,  
(40.70734631986123, -74.01099728403673)"
2107591-DCA,Individual,2024-02-28,Active,2022-07-19,Process Server Individual,"MARTINEZ, JASON",No Building Info,,WOOD RIDGE,NJ,07075,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2093972-DCA,Individual,2023-07-31,Active,2020-01-28,Ticket Seller,"ADEBAYO, OLUWASEGUN",No Building Info,,NEW YORK,NY,10017,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2043752-1-DCA,Business,2023-12-31,Active,2016-09-15,Tobacco Retail Dealer,SUNRISE GROCERY CORP,6005,5TH AVE,BROOKLYN,NY,11220,646-966-2245,Brooklyn,3.0,307.0,38.0,3143470.0,3057830008.0,BK32,122.0,-74.01626473312574,40.63937133577816,"
,  
(40.63937133577816, -74.01626473312574)"
2090064-DCA,Individual,2025-05-31,Active,2019-08-29,Locksmith,"BEVERIDGE, JAMES",No Building Info,,SCARSDALE,NY,10583,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2038297-DCA,Business,2019-02-28,Inactive,2016-05-26,Home Improvement Contractor,"LEZAMA, LANCE",624,ROCKAWAY AVE,BROOKLYN,NY,11212,646-966-8755,Brooklyn,3.0,316.0,41.0,3389277.0,3035600137.0,BK81,924.0,-73.90950055714252,40.664813956378005,"
,  
(40.664813956378005, -73.90950055714252)"
2034147-DCA,Business,2024-02-28,Active,2016-03-08,Scale Dealer Repairer,THE SCALEMAN COMPANY INC,2552,MOUNT AVE,OCEANSIDE,NY,11572,5167900460,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
1415723-DCA,Individual,2023-09-30,Active,2011-12-14,General Vendor,"VANPUTTEN, KEITH L.",No Building Info,,BRONX,NY,10474,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2049395-DCA,Business,2021-02-28,Inactive,2017-03-09,Home Improvement Contractor,FAIRFIELD RENOVATIONS CORP.,186,E 104TH ST,NEW YORK,NY,10029,6465225855,Manhattan,1.0,111.0,8.0,1051952.0,1016310140.0,MN33,166.0,-73.94603198567474,40.79041498347454,"
,  
(40.79041498347454, -73.94603198567474)"
1113256-DCA,Business,2019-07-31,Inactive,2002-06-24,Secondhand Dealer - Auto,"SILVER STAR AUTO RESOURCES, LLC",3714,36TH ST,LONG ISLAND CITY,NY,11101,718-361-2332,Queens,4.0,401.0,26.0,4004569.0,4003770023.0,QN68,55.0,-73.92743496253836,40.752653622495934,"
,  
(40.752653622495934, -73.92743496253836)"
2095956-1-DCA,Business,2023-11-30,Active,2020-07-15,Electronic Cigarette Dealer,SAMMY TOBACCO INC,17001,JAMAICA AVE,JAMAICA,NY,11432,929-257-9790,Queens,4.0,412.0,27.0,4209742.0,4098040012.0,,,-73.78966321350295,40.70720407996868,"
,  
(40.70720407996868, -73.78966321350295)"
1144259-DCA,Business,2023-07-31,Inactive,2003-07-07,Secondhand Dealer - General,"PARTS ARE US, INC.",1937,FLUSHING AVE,RIDGEWOOD,NY,11385,7184973900,Queens,4.0,405.0,34.0,4080421.0,4033750033.0,,,-73.91703173631379,40.7130562459018,"
,  
(40.7130562459018, -73.91703173631379)"
2077796-DCA,Business,2020-05-15,Inactive,2018-09-04,Sidewalk Cafe,PHILLIES PIZZERIA II INC.,7402,ELIOT AVE,MIDDLE VILLAGE,NY,11379,718-397-1340,Queens,4.0,405.0,30.0,4067019.0,4029300001.0,QN21,66501.0,-73.88551491874715,40.72207046435732,"
,  
(40.72207046435732, -73.88551491874715)"
1223083-DCA,Business,2018-07-06,Inactive,2006-04-07,Garage,SP PLUS CORPORATION,2020,BOSTON RD,BRONX,NY,10460,2126954568,Bronx,2.0,206.0,15.0,2013281.0,2031390001.0,BX17,361.0,-73.87964394139102,40.84067005288546,"
,  
(40.84067005288546, -73.87964394139102)"
2090719-DCA,Business,2020-08-15,Inactive,2019-09-20,Sidewalk Cafe,"HEX EAST, LLC",1462,1ST AVE,NEW YORK,NY,10075,No Contact Available,Manhattan,1.0,108.0,5.0,1045946.0,1014710001.0,MN31,132.0,-73.95403405574395,40.77048069276898,"
,  
(40.770480692768984, -73.95403405574395)"
0730872-DCA,Business,2024-06-30,Active,1994-06-30,Electronic & Appliance Service,"CAMPBELL, LEBERT",2411,WALTON AVE,BRONX,NY,10468,7187337834,Bronx,2.0,205.0,14.0,2014104.0,2031880075.0,,,-73.90102308605971,40.8612839044097,"
,  
(40.8612839044097, -73.90102308605971)"
2103692-DCA,Business,2024-03-31,Active,2022-01-31,Stoop Line Stand,"MOUNT EVEREST MARKET & DELI, INC",5609,MYRTLE AVE,RIDGEWOOD,NY,11385,6465257906,Queens,4.0,405.0,34.0,4082756.0,4034610058.0,,,-73.9059506991776,40.70016105205616,"
,  
(40.70016105205616, -73.9059506991776)"
2098308-DCA,Business,2024-06-30,Active,2021-04-07,Electronic & Appliance Service,THE PRO TEAM INC,106,PELICAN CIR,STATEN ISLAND,NY,10306,2124767742,Staten Island,5.0,503.0,50.0,5128991.0,5041310010.0,,,-74.11273491676147,40.55757983064668,"
,  
(40.55757983064668, -74.11273491676147)"
2097473-1-DCA,Business,2023-12-31,Active,2021-01-11,Tobacco Retail Dealer,FOUR KANYA INC,105,E 23RD ST,NEW YORK,NY,10010,5167109488,Manhattan,1.0,105.0,2.0,1018033.0,1008790001.0,,,-73.98591195733462,40.74000585562675,"
,  
(40.74000585562675, -73.98591195733462)"
1333376-DCA,Business,2018-07-06,Inactive,2009-09-21,Garage,SP PLUS CORPORATION,5817,JUNCTION BLVD,ELMHURST,NY,11373,2126954568,Queens,4.0,404.0,25.0,4047312.0,4019180025.0,QN25,455.0,-73.8653997616267,40.735816416989366,"
,  
(40.735816416989366, -73.8653997616267)"
2081528-DCA,Business,2025-03-15,Active,2019-01-18,Dealer In Products,ORTHOCARE SUPPLIES INC,2631,MERRICK RD,BELLMORE,NY,11710,576-494-9950,Outside NYC,,,,,,,,-73.94591110800667,40.72091406112227,
2000805-2-DCA,Business,2022-12-31,Inactive,2013-11-18,Tobacco Retail Dealer,A.S. CANDY & GROCERY INC.,9201A,165TH ST,JAMAICA,NY,11433,7188802145,Queens,4.0,412.0,27.0,4216215.0,4101550001.0,QN61,444.0,-73.79471882165248,40.705250695192845,"
,  
(40.705250695192845, -73.79471882165248)"
2010405-1-DCA,Business,2023-12-31,Inactive,2014-07-07,Tobacco Retail Dealer,2374 KING DELI & GROCERY  LLC,2374,JEROME AVE,BRONX,NY,10468,718-450-3222,Bronx,2.0,205.0,14.0,2014093.0,2031880001.0,BX40,239.0,-73.90232866353077,40.860950163541865,"
,  
(40.860950163541865, -73.90232866353077)"
1281648-DCA,Business,2017-11-03,Inactive,2008-04-11,Garage,SP PLUS CORPORATION,2201,NOSTRAND AVE,BROOKLYN,NY,11210,2126954568,Brooklyn,3.0,314.0,45.0,3396696.0,3075760000.0,BK42,774.0,-73.94748667237448,40.63103829853603,"
,  
(40.63103829853603, -73.94748667237448)"
1288838-DCA,Business,2017-12-31,Inactive,2008-06-11,Laundry,GOOD FRIEND LAUNDROMAT INC,970,POST AVE,STATEN ISLAND,NY,10302,9176567588,Staten Island,5.0,501.0,49.0,5024230.0,5010330038.0,SI28,213.0,-74.13312321777185,40.63227425545382,"
,  
(40.63227425545382, -74.13312321777185)"
2073566-1-DCA,Business,2023-11-30,Active,2018-06-16,Electronic Cigarette Dealer,GUN HILL FUEL CORP,1255,E GUN HILL RD,BRONX,NY,10469,718-297-7016,Bronx,2.0,212.0,12.0,2060519.0,2047330072.0,BX03,364.0,-73.85053367959421,40.872320878244615,"
,  
(40.872320878244615, -73.85053367959421)"
2067534-1-DCA,Business,2023-11-30,Active,2018-03-09,Electronic Cigarette Dealer,"LIC NEWSPAPER STORE, INC",2123,49TH AVE,LONG ISLAND CITY,NY,11101,7184828776,Queens,4.0,402.0,26.0,4436625.0,4000720255.0,QN31,19.0,-73.94857173752693,40.74240512645203,"
,  
(40.74240512645203, -73.94857173752693)"
2093913-DCA,Business,2024-06-30,Active,2020-01-27,Electronic & Appliance Service,BEST WIRELESS GRAHAM AVENUE INC,31,GRAHAM AVE,BROOKLYN,NY,11206,2122222292,Brooklyn,3.0,301.0,34.0,3071561.0,3031130022.0,,,-73.94241005416572,40.7024495016966,"
,  
(40.7024495016966, -73.94241005416572)"
2095405-1-DCA,Business,2023-12-31,Active,2020-03-17,Tobacco Retail Dealer,BIG SIX DELI CORP,6116,QUEENS BLVD,WOODSIDE,NY,11377,7186060691,Queens,4.0,402.0,26.0,,,,,-73.90310667137645,40.74133284470868,"
,  
(40.74133284470868, -73.90310667137645)"
2053138-DCA,Business,2024-06-30,Active,2017-05-17,Electronic & Appliance Service,"URBAEZ, STALIN",5605,MYRTLE AVE,RIDGEWOOD,NY,11385,3477916372,Queens,4.0,405.0,34.0,4082758.0,4034610060.0,,,-73.90603726965931,40.70015014369125,"
,  
(40.70015014369125, -73.90603726965931)"
0907502-DCA,Individual,2025-05-31,Active,2003-05-12,Locksmith,"TORRES, GEORGE",No Building Info,,BROOKLYN,NY,11233,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2058335-2-DCA,Business,2020-12-31,Inactive,2017-09-18,Tobacco Retail Dealer,KANOWA FOOD INC,1711,BLEECKER ST,RIDGEWOOD,NY,11385,718-418-3663,Queens,4.0,405.0,34.0,4082075.0,4034360071.0,QN20,545.0,-73.91230367263299,40.70412951137969,"
,  
(40.70412951137969, -73.91230367263299)"
1243909-DCA,Business,2019-03-31,Inactive,2006-11-20,Parking Lot,SP PLUS CORPORATION,294,HUDSON ST,NEW YORK,NY,10013,2126954568,Manhattan,1.0,,,,,MN24,37.0,-77.51958437167269,40.11238533659802,"
,  
(40.11238533659802, -77.51958437167269)"
2058323-DCA,Individual,2025-05-31,Active,2017-09-18,Locksmith,"HOGEG, MOR",No Building Info,,NEW YORK,NY,10128,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2078330-DCA,Individual,2023-09-30,Active,2018-09-19,General Vendor,"ARCHIE, VALERIE",No Building Info,,FLUSHING,NY,11368,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2093383-DCA,Business,2024-09-30,Active,2020-01-07,Newsstand,"PATEL, SURYA",S/W/C,WALL STREET,NEW YORK,NY,10005,2019207063,Manhattan,1.0,101.0,1.0,,,,,-74.00950391062128,40.70638029595102,"
,  
(40.70638029595102, -74.00950391062128)"
2095945-1-DCA,Business,2023-11-30,Inactive,2020-07-10,Electronic Cigarette Dealer,"7-ELEVEN, INC.",2474,FLATBUSH AVE,BROOKLYN,NY,11234,7327275030,Brooklyn,3.0,318.0,46.0,3241945.0,3085420001.0,,,-73.9228393973037,40.61011182394454,"
,  
(40.61011182394454, -73.9228393973037)"
2064682-DCA,Individual,2024-03-31,Active,2018-01-09,Sightseeing Guide,"WILLIAMS, ELIZABETH",No Building Info,,CARENCRO,LA,70520,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2107611-DCA,Individual,2023-09-30,Active,2022-07-20,General Vendor,"GORY, BABA",No Building Info,,BRONX,NY,10453,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1293529-DCA,Individual,2024-10-31,Active,2013-02-13,Tow Truck Driver,"THOMAS, JOSEPH",No Building Info,,SCHENECTADY,NY,12306,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2041230-DCA,Individual,2023-07-31,Active,2016-07-27,Ticket Seller,"BOUKABOU, MADJID",No Building Info,,JERSEY CITY,NJ,07304,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2096021-1-DCA,Business,2023-12-31,Active,2020-07-22,Tobacco Retail Dealer,71 DELI & GRILL INC,7102,NEW UTRECHT AVE,BROOKLYN,NY,11228,7182136157,Brooklyn,3.0,311.0,43.0,3157768.0,3061800029.0,,,-73.99908507523914,40.61882224576021,"
,  
(40.618822245760214, -73.99908507523914)"
2065365-1-DCA,Business,2023-12-31,Active,2018-01-25,Tobacco Retail Dealer,S & S CONVENIENCE STORE NY CORP,3974,61ST ST,WOODSIDE,NY,11377,716-3228486,Queens,4.0,402.0,26.0,4030037.0,4012930001.0,QN63,259.0,-73.90349416208333,40.74537618967035,"
,  
(40.74537618967035, -73.90349416208333)"
2107606-DCA,Individual,2024-03-31,Active,2022-07-20,Sightseeing Guide,"NAHON, LAURENT",No Building Info,,NEW YORK,NY,10023,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2072928-1-DCA,Business,2023-11-30,Active,2018-06-08,Electronic Cigarette Dealer,ANNA GALSTYAN,8505,4TH AVE,BROOKLYN,NY,11209,No Contact Available,Brooklyn,3.0,310.0,43.0,3153141.0,3060350006.0,BK31,138.0,-74.02808364673353,40.62343281376904,"
,  
(40.62343281376904, -74.02808364673353)"
1292558-DCA,Business,2017-03-31,Inactive,2008-07-16,Garage,SP PLUS CORPORATION,401,W 110TH ST,NEW YORK,NY,10025,2126954568,Manhattan,1.0,109.0,9.0,1087754.0,1018650040.0,MN09,19701.0,-73.96148909506633,40.801984727411416,"
,  
(40.801984727411416, -73.96148909506633)"
2105479-DCA,Individual,2024-03-31,Active,2022-04-22,Sightseeing Guide,"ROSENTHAL, WILLIAM",No Building Info,,EAST ORANGE,NJ,07018,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2017357-DCA,Business,2020-11-01,Inactive,2015-01-15,Pedicab Business,"DUNDAR, AYKUT",819,FDR DR,NEW YORK,NY,10009,347-906-1905,Manhattan,1.0,103.0,2.0,1077540.0,1003620010.0,,,-73.97399196557704,40.72338154517956,"
,  
(40.723381545179556, -73.97399196557704)"
0864865-DCA,Individual,2021-02-28,Inactive,2007-10-25,Home Improvement Salesperson,"BERETIN, NEDILJKO",No Building Info,,BROOKLYN,NY,11218,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
0989775-DCA,Individual,2025-05-31,Active,1998-07-09,Locksmith,"GENIS, ROMANO",No Building Info,,BROOKLYN,NY,11235,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1333142-DCA,Business,2020-12-31,Inactive,2009-09-15,Tobacco Retail Dealer,GREENLAND TROPICAL DELI & GROCERY INC.,1737,DR MARTIN L KING JR BLVD,BRONX,NY,10453,718-294-4740,Bronx,2.0,205.0,14.0,2009019.0,2028780208.0,BX36,21501.0,-73.91633697499526,40.849867082970505,"
,  
(40.849867082970505, -73.91633697499526)"
1325687-DCA,Business,2021-12-31,Inactive,2009-07-13,Tobacco Retail Dealer,RIMAR GOURMET DELI INC.,2611,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10030,917-541-3040,Manhattan,1.0,110.0,9.0,1085457.0,1020427502.0,MN03,22102.0,-73.94466472430894,40.81909671541169,"
,  
(40.81909671541169, -73.94466472430894)"
1259748-DCA,Business,2017-12-31,Inactive,2007-06-25,Laundry Jobber,"YIM, IEK JAE",155,E 84TH ST,NEW YORK,NY,10028,212249-1319,Manhattan,1.0,108.0,5.0,1047700.0,1015130124.0,MN40,14801.0,-73.95602919881996,40.77797186208834,"
,  
(40.77797186208834, -73.95602919881996)"
2095545-1-DCA,Business,2023-11-30,Active,2020-03-25,Electronic Cigarette Dealer,BIG SIX DELI CORP,6116,QUEENS BLVD,WOODSIDE,NY,11377,7186060691,Queens,4.0,402.0,26.0,,,,,-73.90310667137645,40.74133284470868,"
,  
(40.74133284470868, -73.90310667137645)"
1243354-DCA,Business,2022-12-31,Inactive,2011-05-09,Tobacco Retail Dealer,"E-Z STATION, INC.",4040,CRESCENT ST,LONG IS CITY,NY,11101,718-472-0878,Queens,4.0,401.0,26.0,4004903.0,4004070001.0,QN68,33.0,-73.93845389701008,40.75294549071444,"
,  
(40.75294549071444, -73.93845389701008)"
2021893-DCA,Business,2025-02-28,Active,2015-04-30,Home Improvement Contractor,CBG BUILDERS INC,330,7TH AVE,NEW YORK,NY,10001,80,Manhattan,1.0,105.0,3.0,1014264.0,1007780043.0,,,-73.993142850465,40.747549086491816,"
,  
(40.747549086491816, -73.993142850465)"
2003188-DCA,Individual,2015-02-28,Inactive,2014-02-04,Home Improvement Salesperson,"FILA, TOMASZ",No Building Info,,COPIAGUE,NY,11726,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2072139-1-DCA,Business,2023-11-30,Active,2018-05-30,Electronic Cigarette Dealer,3014 RAYYAN CORP,3014,RICHMOND RD,STATEN ISLAND,NY,10306,718-681-1158,Staten Island,5.0,503.0,50.0,5107629.0,5043020093.0,SI25,138.0,-74.12232923427611,40.57527128294534,"
,  
(40.57527128294534, -74.12232923427611)"
2035498-1-DCA,Business,2023-12-31,Active,2016-04-04,Tobacco Retail Dealer,NEILL GOURMET DELI LLC,1074,NEILL AVE,BRONX,NY,10461,718-684-4050,Bronx,2.0,211.0,13.0,2048437.0,2042710001.0,BX49,250.0,-73.85676889546612,40.85312685309395,"
,  
(40.85312685309395, -73.85676889546612)"
2048922-DCA,Individual,2024-03-31,Active,2017-03-01,Sightseeing Guide,"LEMMO, STEVEN",No Building Info,,MORRISTOWN,NJ,07960,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
1418717-DCA,Business,2020-04-30,Inactive,2012-02-01,Pawnbroker,JBOFAMERICA LLC,15,W 47TH ST,NEW YORK,NY,10036,2127192626,Manhattan,1.0,105.0,4.0,1034483.0,1012630024.0,MN17,96.0,-73.97936787890136,40.75700309561677,"
,  
(40.75700309561677, -73.97936787890136)"
2004979-DCA,Individual,2024-03-31,Active,2014-03-19,Sightseeing Guide,"COSTABILE, JOSE",No Building Info,,STAMFORD,CT,06906,No Contact Available,Unknown Borough,,,,,,,,-73.94591110800667,40.72091406112227,
2083257-DCA,Business,2021-03-31,Inactive,2019-03-15,Garage,"ONE PARKING 703, INC.",21010,23RD AVE,BAYSIDE,NY,11360,5618337222,Queens,4.0,407.0,19.0,4131229.0,4058937501.0,QN47,99704.0,-73.78106977275347,40.779172099307246,"
,  
(40.779172099307246, -73.78106977275347)"
